碎裂的紫宝石,2,碎裂的宝石，几乎没有光泽，镶嵌在装备上能提供最一般的属性。
碎裂的绿宝石,4,碎裂的宝石，几乎没有光泽，镶嵌在装备上能提供最一般的属性。
碎裂的黄宝石,6,碎裂的宝石，几乎没有光泽，镶嵌在装备上能提供最一般的属性。
碎裂的蓝宝石,8,碎裂的宝石，几乎没有光泽，镶嵌在装备上能提供最一般的属性。
碎裂的红宝石,10,碎裂的宝石，几乎没有光泽，镶嵌在装备上能提供最一般的属性。
碎裂的钻石,12,碎裂的宝石，几乎没有光泽，镶嵌在装备上能提供最一般的属性。
裂开的紫宝石,14,裂开的宝石，从中透露出一丝光泽，镶嵌在装备上能提供一定的属性。
裂开的绿宝石,16,裂开的宝石，从中透露出一丝光泽，镶嵌在装备上能提供一定的属性。
裂开的黄宝石,18,裂开的宝石，从中透露出一丝光泽，镶嵌在装备上能提供一定的属性。
裂开的蓝宝石,20,裂开的宝石，从中透露出一丝光泽，镶嵌在装备上能提供一定的属性。
裂开的红宝石,22,裂开的宝石，从中透露出一丝光泽，镶嵌在装备上能提供一定的属性。
裂开的钻石,24,裂开的宝石，从中透露出一丝光泽，镶嵌在装备上能提供一定的属性。
标准的紫宝石,26,标准的宝石，即便在黑暗中也能有微光，镶嵌在装备上能提供有力的属性。
标准的绿宝石,28,标准的宝石，即便在黑暗中也能有微光，镶嵌在装备上能提供有力的属性。
标准的黄宝石,30,标准的宝石，即便在黑暗中也能有微光，镶嵌在装备上能提供有力的属性。
标准的蓝宝石,32,标准的宝石，即便在黑暗中也能有微光，镶嵌在装备上能提供有力的属性。
标准的红宝石,34,标准的宝石，即便在黑暗中也能有微光，镶嵌在装备上能提供有力的属性。
标准的钻石,36,标准的宝石，即便在黑暗中也能有微光，镶嵌在装备上能提供有力的属性。
无瑕的紫宝石,38,无瑕的宝石，即便在黑暗中也能发出光芒，镶嵌在装备上能提供较强的属性。
无瑕的绿宝石,40,无瑕的宝石，即便在黑暗中也能发出光芒，镶嵌在装备上能提供较强的属性。
无瑕的黄宝石,42,无瑕的宝石，即便在黑暗中也能发出光芒，镶嵌在装备上能提供较强的属性。
无瑕的蓝宝石,44,无瑕的宝石，即便在黑暗中也能发出光芒，镶嵌在装备上能提供较强的属性。
无瑕的红宝石,46,无瑕的宝石，即便在黑暗中也能发出光芒，镶嵌在装备上能提供较强的属性。
无瑕的钻石,49,无瑕的宝石，即便在黑暗中也能发出光芒，镶嵌在装备上能提供较强的属性。
完美的紫宝石,52,完美的宝石，无论在哪里都能发出最耀眼的光芒，镶嵌在装备上能提供超强的属性。
完美的绿宝石,55,完美的宝石，无论在哪里都能发出最耀眼的光芒，镶嵌在装备上能提供超强的属性。
完美的黄宝石,58,完美的宝石，无论在哪里都能发出最耀眼的光芒，镶嵌在装备上能提供超强的属性。
完美的蓝宝石,61,完美的宝石，无论在哪里都能发出最耀眼的光芒，镶嵌在装备上能提供超强的属性。
完美的红宝石,64,完美的宝石，无论在哪里都能发出最耀眼的光芒，镶嵌在装备上能提供超强的属性。
完美的钻石,67,完美的宝石，无论在哪里都能发出最耀眼的光芒，镶嵌在装备上能提供超强的属性。
